coverage,JJ-CV (lowest first),JJ-count (most first),Random (coverage-matched),random_p5
0.05,11.479403549665726,15.307121391372512,13.933784518993875,13.357188932281106
0.1,11.607019431223353,15.327706435037816,13.896666151188066,13.489544484734715
0.2,12.23142159775014,15.569414359272958,13.9040371068905,13.605795446657877
0.3,12.578302838505833,15.468316741629847,13.903722052718685,13.671417442377125
0.4,12.766414754274289,15.342128789276831,13.907553384613564,13.732574435707662
0.5,13.102956864383327,15.076344535349051,13.905098387883038,13.766038051554686
0.6,13.343859680992805,14.971248233567357,13.91239065866437,13.79879647978179
0.66,13.486313675326528,14.75873357420551,13.909093625818358,13.797277687549174
0.7,13.581513807175654,14.735122733367726,13.903434727900766,13.806898957673548
0.8,13.724945299725743,14.458050886128255,13.908203189451253,13.835049932574599
0.9,13.846689878869508,14.149856246803427,13.90622587933424,13.860096029094054
0.95,13.891298404692876,14.030586182826521,13.907035670982932,13.872425817504043
0.99,13.897816940000839,13.913631992788556,13.907070600039976,13.890230954435838
1.0,13.907373569316924,13.907373569316924,13.90737356931692,13.907373569316924
