fold,test_pid,N,n_minority,n_majority,minority_prevalence,acc,bal_acc,macro_f1,prec_BCG,rec_BCG,f1_BCG,prec_NonBCG,rec_NonBCG,f1_NonBCG,rec_NonBCG_ci_lo,rec_NonBCG_ci_hi,TN,FP,FN,TP
1.0,0010,5724,189,5535,0.0330188679245283,0.673130677847659,0.6597883597883598,0.4574474924256413,0.9823591363875724,0.674074074074074,0.7995285545912353,0.06334371754932502,0.6455026455026455,0.1153664302600473,0.5750265165670692,0.710181863082378,122,67,1804,3731
2.0,0006,5177,375,4802,0.0724357736140622,0.681668920224068,0.635418853255588,0.5049692828645499,0.9547289504036909,0.6895043731778425,0.8007255139056833,0.12755997659449972,0.5813333333333334,0.20921305182341654,0.5308235330092353,0.6301936908965068,218,157,1491,3311
3.0,0008,4846,10,4836,0.0020635575732562937,0.8130416838629798,0.6069478908188586,0.45277007916648593,0.9984779299847792,0.8138957816377171,0.8967874231032126,0.004424778761061947,0.4,0.0087527352297593,0.16818032967113528,0.6873262303202639,4,6,900,3936
4.0,0002,4632,761,3871,0.16429188255613125,0.831174438687392,0.602860449224684,0.6208256236519835,0.8667774875326526,0.9429088090932576,0.9032417718386538,0.4750593824228028,0.2628120893561104,0.338409475465313,0.23278641825823773,0.2952203394353457,200,561,221,3650
5.0,0009,4387,1281,3106,0.2919990882151812,0.6815591520401185,0.5744390374350368,0.5773960089187176,0.747036715813819,0.8319381841596909,0.7872048743335871,0.4375,0.31693989071038253,0.3675871435038479,0.29203990963883436,0.34293450936083064,406,875,522,2584
6.0,0007,4220,782,3438,0.1853080568720379,0.7590047393364929,0.7182330326470068,0.6711723332219042,0.9085386432669592,0.7830133798720186,0.8411185752226215,0.40652346857597454,0.6534526854219949,0.5012260912211869,0.6194228634213721,0.685982250174461,511,271,746,2692
7.0,0003,1668,328,1340,0.19664268585131894,0.7973621103117506,0.6482344375682563,0.6574549113294625,0.8593974175035868,0.8940298507462686,0.8763716166788587,0.48175182481751827,0.4024390243902439,0.4385382059800665,0.35079399733635375,0.4563428196632553,132,196,142,1198
8.0,0004,1220,30,1190,0.02459016393442623,0.7770491803278688,0.7232492997198879,0.5001927896664738,0.9893390191897654,0.7798319327731092,0.8721804511278195,0.07092198581560284,0.6666666666666666,0.12820512820512822,0.4878005164038272,0.8076950191891068,20,10,262,928
9.0,0001,1116,106,1010,0.09498207885304659,0.8539426523297491,0.5097795628619466,0.5099870431079301,0.9068203650336215,0.9346534653465347,0.9205265724037055,0.12,0.08490566037735849,0.0994475138121547,0.045311558847575664,0.15353375016996662,9,97,66,944
10.0,0005,956,418,538,0.4372384937238494,0.6652719665271967,0.6289642660215933,0.6127751787269377,0.6415584415584416,0.9182156133828996,0.7553516819571865,0.7634408602150538,0.3397129186602871,0.47019867549668876,0.29595342091278815,0.38639169430172987,142,276,44,494
